tier,task,variant,seed,run_id,metric,value,unit,config,checkpoint_id,sigma_value,hutchinson_M,same_chi2_decile_id,is_chi2_opt,is_utility_opt,metric_scope
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,A_swap,0.060941042,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_01,0,,D10,FALSE,FALSE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,A_swap,0.09696205,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_02,0.05,,D09,FALSE,FALSE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,A_swap,0.15264295,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_03,0.1,,D03,FALSE,FALSE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,A_swap,0.22955507,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_04,0.15,,D06,FALSE,FALSE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,A_swap,0.26825007,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_05,0.2,,D02,FALSE,FALSE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,A_swap,0.33165229,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_06,0.25,,D02,TRUE,FALSE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,A_swap,0.4117211,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_07,0.3,,D02,FALSE,FALSE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,A_swap,0.46156178,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_08,0.35,,D02,FALSE,TRUE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,A_swap,0.46984185,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_09,0.45,,D06,FALSE,FALSE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,A_swap,0.30826998,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_10,0.6,,D03,FALSE,FALSE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,C_mode,0.21910948,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_01,0,,D10,FALSE,FALSE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,C_mode,0.37280542,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_02,0.05,,D09,FALSE,FALSE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,C_mode,0.50436099,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_03,0.1,,D03,FALSE,FALSE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,C_mode,0.66974101,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_04,0.15,,D06,FALSE,FALSE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,C_mode,0.71553906,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_05,0.2,,D02,FALSE,FALSE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,C_mode,0.76905311,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_06,0.25,,D02,TRUE,FALSE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,C_mode,0.89299369,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_07,0.3,,D02,FALSE,FALSE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,C_mode,0.92110976,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_08,0.35,,D02,FALSE,TRUE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,C_mode,0.92382678,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_09,0.45,,D06,FALSE,FALSE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,C_mode,0.87918007,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_10,0.6,,D03,FALSE,FALSE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,ESS,76.492531,samples,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_01,0,,D10,FALSE,FALSE,chi2_demarcation_sweep
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation__T2_four_well__sigma_sweep__R001,ESS,112.26288,samples,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,ckpt_02,0.05,,D09,FALSE,FALSE,chi2_demarcation_sweep
